Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,Select,,analysis_id
Hand grip strength (right),47,continuous,,UK Biobank Assessment Centre > Physical measures > Hand grip strength,,280393,,0.000186748185830643,-0.0131363583965233,,,continuous-47-both_sexes--irnt
Volume of grey matter in Superior Parietal Lobule (right),25817,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.000471534749972413,-0.100224376096734,,,continuous-25817-both_sexes--irnt
IGF-1,30770,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,267102,,0.000929071125504,-0.0135582121218869,,,continuous-30770-both_sexes--irnt
Mean L1 in inferior cerebellar peduncle on FA skeleton (right),25210,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00111139787077308,-0.0925764118419609,,,continuous-25210-both_sexes--irnt
Mean FA in inferior cerebellar peduncle on FA skeleton (right),25066,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00115272321503535,-0.0923469090986068,,,continuous-25066-both_sexes--irnt
Sciatica,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2619,278924,0.00185994133052869,0.0976542368383168,,,categorical-20002-both_sexes-1476-
R24.9 All normal delivery,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5023,148325,0.00241415747587226,0.125865961392328,,,categorical-41200-both_sexes-R249-
Mean L1 in inferior cerebellar peduncle on FA skeleton (left),25211,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00242854974856888,-0.0878686246465037,,,continuous-25211-both_sexes--irnt
Y90.3 Scanning NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1952,279634,0.00258167789106711,0.139189781613462,,,categorical-41210-both_sexes-Y903-
K76 Other diseases of liver,131670,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,4949,276636,0.0027832260864421,0.0946325378663581,,,icd_first_occurrence-131670-both_sexes--
Mean OD in medial lemniscus on FA skeleton (left),25401,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.00330669891924551,0.0847983716194464,,,continuous-25401-both_sexes--irnt
Mean OD in medial lemniscus on FA skeleton (right),25400,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.00334765067912401,0.0844288156321547,,,continuous-25400-both_sexes--irnt
Appendicitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2745,278798,0.00365499518319046,0.109443881003987,,,categorical-20002-both_sexes-1502-
Weighted-mean MD in tract middle cerebellar peduncle,25531,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.00374241170822154,0.064515496030222,,,continuous-25531-both_sexes--irnt
Mean FA in medial lemniscus on FA skeleton (right),25064,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00386595593232708,-0.0826380675090454,,,continuous-25064-both_sexes--irnt
"Forced expiratory volume in 1-second (FEV1), Best measure",20150,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,208760,,0.00390213234226833,-0.00726896924737909,,,continuous-20150-both_sexes--irnt
Mean FA in inferior cerebellar peduncle on FA skeleton (left),25067,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00398796163433879,-0.0823204607036921,,,continuous-25067-both_sexes--irnt
Mean OD in inferior cerebellar peduncle on FA skeleton (right),25402,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.00422311511505247,0.0802527707848208,,,continuous-25402-both_sexes--irnt
Weighted-mean L2 in tract middle cerebellar peduncle,25612,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.00516755617098252,0.0607593460667757,,,continuous-25612-both_sexes--irnt
