Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,Select,,analysis_id
Type 2 diabetes,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1752,279791,0.000163324190144531,0.0599840605403573,,,categorical-20002-both_sexes-1223-
N60 Benign mammary dysplasia,132096,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,7142,146205,0.000668928521442291,0.0309063139814582,,,icd_first_occurrence-132096-both_sexes--
Mean ISOVF in uncinate fasciculus on FA skeleton (left),25485,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0011221595628097,-0.0215832760446275,,,continuous-25485-both_sexes--irnt
SHBG,30830,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,243925,,0.00122061472387258,-0.00763111477502138,,,continuous-30830-both_sexes--irnt
H61 Other disorders of external ear,131224,icd_first_occurrence,,Health-related outcomes > First occurrences > Ear and mastoid process disorders,,17767,263818,0.00122882142491232,0.0386600943288043,,,icd_first_occurrence-131224-both_sexes--
S06.5 Excision of lesion of skin of head or neck NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,8309,273277,0.00144289875555748,0.0255094348837151,,,categorical-41200-both_sexes-S065-
Lymphocyte percentage,30180,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273112,,0.00148096552179489,-0.00856864986676846,,,continuous-30180-both_sexes--irnt
Colonoscopy/sigmoidoscopy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,5489,276054,0.00265123604983097,0.0375284553977694,,,categorical-20004-both_sexes-1519-
Mean L2 in cerebral peduncle on FA skeleton (right),25262,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00269979618052485,-0.00650770569719264,,,continuous-25262-both_sexes--irnt
Weighted-mean L2 in tract anterior thalamic radiation (left),25598,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.00298171941305059,-0.016880818126054,,,continuous-25598-both_sexes--irnt
L87.4 Avulsion of varicose vein of leg,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,4031,277555,0.00310192101114393,0.0631059424936268,,,categorical-41210-both_sexes-L874-
Chronic sinusitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1787,279756,0.00330366303077001,0.0732229098207307,,,categorical-20002-both_sexes-1416-
Mean FA in anterior corona radiata on FA skeleton (left),25079,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.003343327868084,0.00920059394881108,,,continuous-25079-both_sexes--irnt
