Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,Select,,analysis_id
Frequency of failure to fulfil normal expectations due to drinking alcohol in last year,20407,continuous,,Online follow-up > Mental health > Alcohol use,,51479,,0.00029088977078473,0.0117463222876927,,,continuous-20407-both_sexes--
Y53.9 Unspecified approach to organ under image control,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,3463,278123,0.000504818300450904,0.127079877229645,,,categorical-41210-both_sexes-Y539-
Umbilical hernia repair,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2474,279069,0.000506984473840344,0.14374768641792,,,categorical-20004-both_sexes-1404-
Z28.4 Transverse colon,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5559,276027,0.000684589011883174,0.0997034134382111,,,categorical-41210-both_sexes-Z284-
K59 Other functional intestinal disorders,131640,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,12717,268868,0.0011534485818101,0.0718765724790113,,,icd_first_occurrence-131640-both_sexes--
M50 Cervical disk disorders,131922,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,2147,279438,0.00119298140804669,0.141650640020282,,,icd_first_occurrence-131922-both_sexes--
Back problem,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,4847,276696,0.00162642140032698,0.103826198589132,,,categorical-20002-both_sexes-1294-
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",6152,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,,190735,90264,0.00177277460738279,-0.036857920139661,,,categorical-6152-both_sexes-100-
Bisoprolol,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,4032,277511,0.00216682086507913,0.105405194890009,,,categorical-20003-both_sexes-1140879760-
L50 Urticaria,131754,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,6252,275333,0.00358319525185979,0.0921743298769227,,,icd_first_occurrence-131754-both_sexes--
Ever contemplated self-harm,20485,continuous,,Online follow-up > Mental health > Self-harm behaviours,,92964,,0.00417004560261969,0.0141355141853782,,,continuous-20485-both_sexes--
Vasectomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,6847,121368,0.00440838304374913,0.0825345358088281,,,categorical-20004-both_sexes-1218-
I80 Phlebitis and thrombophlebitis,131396,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,9555,272030,0.00454039585054833,0.0756183067541055,,,icd_first_occurrence-131396-both_sexes--
Y53.1 Approach to organ under radiological control,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5064,276522,0.00467032692033076,0.104612735665141,,,categorical-41210-both_sexes-Y531-
Q22.1 Bilateral salpingoophorectomy,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5443,147905,0.0046819200985373,0.105421069200476,,,categorical-41210-both_sexes-Q221-
M15 Polyarthrosis,131868,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,5968,275617,0.00468506281611203,0.092546435021566,,,icd_first_occurrence-131868-both_sexes--
L71 Rosacea,131792,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,3334,278251,0.00470360014933047,0.11446079311518,,,icd_first_occurrence-131792-both_sexes--
M45.9 Unspecified diagnostic endoscopic examination of bladder,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,18397,263189,0.00485070224503559,0.0532625867498071,,,categorical-41200-both_sexes-M459-
B28.5 Wire guided partial excision of breast,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1412,151936,0.00495297621759261,0.164016536388543,,,categorical-41200-both_sexes-B285-
"N92 Excessive, frequent and irregular menstruation",132146,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,16751,136596,0.00522301027469796,0.071662361781953,,,icd_first_occurrence-132146-both_sexes--
