Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,Select,,analysis_id
G44 Other headache syndromes,131054,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,3167,278418,0.00000474229739655385,0.0829596506493003,,,icd_first_occurrence-131054-both_sexes--
L71 Rosacea,131792,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,3334,278251,0.000547077022981513,0.0624784827284569,,,icd_first_occurrence-131792-both_sexes--
Enalapril,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,2128,279415,0.00246100718822662,0.0619275327099263,,,categorical-20003-both_sexes-1140888552-
Caesarean section / caesarian section,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,14489,138839,0.00371801247979031,0.03444987264738,,,categorical-20004-both_sexes-1477-
"G98 Other disorders of nervous system, not elsewhere classified",131124,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,1171,280414,0.00507798226621992,0.0502984150593137,,,icd_first_occurrence-131124-both_sexes--
Mean MO in posterior corona radiata on FA skeleton (right),25178,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00528705865743706,0.0293175645924586,,,continuous-25178-both_sexes--irnt
R17.2 Elective lower uterine segment caesarean delivery,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1304,152044,0.00682036910379769,0.0587159564668592,,,categorical-41200-both_sexes-R172-
Volume of grey matter in Occipital Fusiform Gyrus (right),25861,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.00792316080556743,-0.0264741154460403,,,continuous-25861-both_sexes--irnt
Weighted-mean MO in tract inferior longitudinal fasciculus (right),25557,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.00795066848842263,-0.0137848955522759,,,continuous-25557-both_sexes--irnt
Mean ICVF in anterior limb of internal capsule on FA skeleton (left),25361,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0084171269544665,-0.028435843687054,,,continuous-25361-both_sexes--irnt
K75 Other inflammatory liver diseases,131668,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,1118,280467,0.00893002577144131,0.0857949438217223,,,icd_first_occurrence-131668-both_sexes--
U20.1 Transthoracic echocardiography,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2448,279138,0.0104725968965839,0.0235815144028478,,,categorical-41200-both_sexes-U201-
Carotene,100019,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,43938,,0.0108317681728545,-0.00895110178260676,,,continuous-100019-both_sexes--irnt
Mean MO in posterior corona radiata on FA skeleton (left),25179,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.010932846058435,0.0277808941147432,,,continuous-25179-both_sexes--irnt
Ginkgo forte tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1617,279926,0.0113632254092129,0.0482306772471456,,,categorical-20003-both_sexes-1140911734-
Reduction or fixation of bone fracture,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,12757,268786,0.013142489379776,0.0302219423442078,,,categorical-20004-both_sexes-1439-
Current tobacco smoking,1239,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,,281266,,0.0143262258429636,-0.00345705497051478,,,continuous-1239-both_sexes--
Platelet count,30080,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273542,,0.0161337480488731,-0.000931115541389552,,,continuous-30080-both_sexes--irnt
F09.1 Surgical removal of impacted wisdom tooth,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1174,280412,0.0171582874173117,0.0791528568994096,,,categorical-41200-both_sexes-F091-
Q10.3 Dilation of cervix uteri and curettage of uterus NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2708,150640,0.0176468255840029,0.0372616751146162,,,categorical-41200-both_sexes-Q103-
Mean ICVF in cerebral peduncle on FA skeleton (right),25358,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0183011523388128,-0.0264435852228363,,,continuous-25358-both_sexes--irnt
N30 Cystitis,132054,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,10129,271456,0.0205983592280414,-0.0333558600510468,,,icd_first_occurrence-132054-both_sexes--
Anterior thigh lean muscle volume (left),22405,continuous,,UK Biobank Assessment Centre > Imaging > Abdominal MRI > Abdominal composition,,5331,,0.02190506077329,-0.0103317949989239,,,continuous-22405-both_sexes--irnt
"N28 Other disorders of kidney and ureter, not elsewhere classified",132050,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,3749,277836,0.0220421318673233,0.02417664540163,,,icd_first_occurrence-132050-both_sexes--
Median T2star in hippocampus (right),25035,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,14767,,0.0241761189939209,0.00798867809505371,,,continuous-25035-both_sexes--irnt
Platelet crit,30090,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273539,,0.0242056445402964,-0.00146295880076118,,,continuous-30090-both_sexes--irnt
K58 Irritable bowel syndrome,131638,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,18586,262999,0.0254475023672102,0.024075142855187,,,icd_first_occurrence-131638-both_sexes--
Mean L1 in uncinate fasciculus on FA skeleton (left),25245,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0279489413518998,0.0186043214701845,,,continuous-25245-both_sexes--irnt
Cholecystectomy/gall bladder removal,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,11057,270486,0.0280219004332829,-0.0306238263132213,,,categorical-20004-both_sexes-1455-
Median T2star in accumbens (right),25039,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,14767,,0.0280952271193575,-0.0257077120987948,,,continuous-25039-both_sexes--irnt
Mean OD in posterior corona radiata on FA skeleton (right),25418,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.029818718684651,-0.0241602607572301,,,continuous-25418-both_sexes--irnt
Headaches (not migraine),20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2348,279195,0.0311694570612909,0.059462933783905,,,categorical-20002-both_sexes-1436-
Volume of grey matter in Subcallosal Cortex (right),25835,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0311971052301891,-0.0214400644966026,,,continuous-25835-both_sexes--irnt
Frequency of drinking alcohol,20414,continuous,,Online follow-up > Mental health > Alcohol use,,93228,,0.0312601865051498,0.0109953645468033,,,continuous-20414-both_sexes--
Thyroidectomy/partial thyroidectomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2681,278862,0.0324328958884664,0.0321683939262995,,,categorical-20004-both_sexes-1432-
I21 Acute myocardial infarction,131298,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,9593,271992,0.0334864332383895,-0.0332373688435725,,,icd_first_occurrence-131298-both_sexes--
Volume of grey matter in Central Opercular Cortex (right),25865,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0337440044257047,-0.0213955566043084,,,continuous-25865-both_sexes--irnt
Mean ISOVF in uncinate fasciculus on FA skeleton (left),25485,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0340045527508683,0.0210129239199467,,,continuous-25485-both_sexes--irnt
Anterior thigh lean muscle volume (right),22403,continuous,,UK Biobank Assessment Centre > Imaging > Abdominal MRI > Abdominal composition,,5376,,0.0345585979325573,-0.00988529761327869,,,continuous-22403-both_sexes--irnt
Mean MD in uncinate fasciculus on FA skeleton (left),25149,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0353467812922106,0.0177933720310816,,,continuous-25149-both_sexes--irnt
"Volume of grey matter in Inferior Temporal Gyrus, posterior division (left)",25810,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0354418483107223,-0.0218210274842807,,,continuous-25810-both_sexes--irnt
Becotide 50 inhaler,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1688,279855,0.0360105743149544,0.0299549160666416,,,categorical-20003-both_sexes-1140862382-
Ever addicted to alcohol,20406,categorical,,Online follow-up > Mental health > Addictions,,2133,2961,0.0374631636129498,0.0940894708687437,,,categorical-20406-both_sexes--
Weighted-mean MO in tract inferior fronto-occipital fasciculus (right),25555,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0376248238706575,-0.0238701721365578,,,continuous-25555-both_sexes--irnt
I50 Heart failure,131354,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,5395,276190,0.0387851036150746,-0.0418221765185029,,,icd_first_occurrence-131354-both_sexes--
