Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,Select,,analysis_id
Recent feelings of foreboding,20512,continuous,,Online follow-up > Mental health > Anxiety,,92903,,0.00000409680548785207,0.0299190590217805,,,continuous-20512-both_sexes--
Diabetes,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,11011,270532,0.000864788249002157,0.132482073972568,,,categorical-20002-both_sexes-1220-
Nasonex 0.05% aqueous nasal spray,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1437,280106,0.00148247244788413,0.219680191827757,,,categorical-20003-both_sexes-1141150944-
E14 Unspecified diabetes mellitus,130714,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,12379,269206,0.00157106729095791,0.122217559538637,,,icd_first_occurrence-130714-both_sexes--
Recent trouble concentrating on things,20508,continuous,,Online follow-up > Mental health > Depression,,93221,,0.00168642687304543,0.0101872104396713,,,continuous-20508-both_sexes--
Sertraline,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1209,280334,0.00189685922520355,0.217370622555034,,,categorical-20003-both_sexes-1140867878-
Diabetes diagnosed by doctor,2443,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,,13426,267293,0.00241399620772931,0.114869488369755,,,categorical-2443-both_sexes--
Calcium,30680,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,246181,,0.00258159756414011,0.022344646544434,,,continuous-30680-both_sexes--irnt
N35 Urethral stricture,132064,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,2591,278994,0.00329416456042131,0.189043979873045,,,icd_first_occurrence-132064-both_sexes--
K57 Diverticular disease of intestine,131636,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,26827,254758,0.00338901818424764,0.0864444748165568,,,icd_first_occurrence-131636-both_sexes--
U21.2 Computed tomography NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,6784,274802,0.00366764442247003,0.126604689451189,,,categorical-41200-both_sexes-U212-
Recent feelings of inadequacy,20507,continuous,,Online follow-up > Mental health > Depression,,92923,,0.00378750652456405,0.00840194277345444,,,continuous-20507-both_sexes--
Psoriasis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,3135,278408,0.00482369412525074,0.160339854049071,,,categorical-20002-both_sexes-1453-
M22 Disorders of patella,131882,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,1825,279760,0.00614731600208007,0.14927144465587,,,icd_first_occurrence-131882-both_sexes--
H54 Blindness and low vision,131212,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,1412,280173,0.00657057098723801,0.182302290114203,,,icd_first_occurrence-131212-both_sexes--
Recent poor appetite or overeating,20511,continuous,,Online follow-up > Mental health > Depression,,93231,,0.00693084264821531,0.00762507339347236,,,continuous-20511-both_sexes--
Mean MO in corticospinal tract on FA skeleton (right),25158,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00743112367350906,,,,continuous-25158-both_sexes--irnt
