Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,Select,,analysis_id
Alcohol drinker status,20117,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,262484,18674,0.000150782023721874,-0.0553186568419257,,,categorical-20117-both_sexes-2-
H18 Other disorders of cornea,131154,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,1331,280254,0.00070157169238827,0.123992209557151,,,icd_first_occurrence-131154-both_sexes--
Minimum carotid IMT (intima-medial thickness) at 120 degrees ,22670,continuous,,UK Biobank Assessment Centre > Physical measures > Carotid ultrasound,,18686,,0.00109053208704435,0.0455897727667162,,,continuous-22670-both_sexes--irnt
Mean carotid IMT (intima-medial thickness) at 150 degrees ,22674,continuous,,UK Biobank Assessment Centre > Physical measures > Carotid ultrasound,,18767,,0.00113965741455924,0.0446543977605648,,,continuous-22674-both_sexes--irnt
Alcohol drinker status,20117,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,9646,271512,0.001601203916895,0.0560591090985219,,,categorical-20117-both_sexes-1-
Mean carotid IMT (intima-medial thickness) at 120 degrees ,22671,continuous,,UK Biobank Assessment Centre > Physical measures > Carotid ultrasound,,18686,,0.00170941866236018,0.0429240950715256,,,continuous-22671-both_sexes--irnt
Mean ISOVF in superior cerebellar peduncle on FA skeleton (left),25453,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.00185524453560326,-0.0406393096832283,,,continuous-25453-both_sexes--irnt
Co-dydramol,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1763,279780,0.00199897267877192,0.0687533399709441,,,categorical-20003-both_sexes-1140923350-
Mean MO in corticospinal tract on FA skeleton (right),25158,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00203617786988175,0.0468845771522902,,,continuous-25158-both_sexes--irnt
Eye problems/disorders,6148,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight,,2217,98278,0.0026613103704225,0.11095070298349,,,categorical-6148-both_sexes-5-
Minimum carotid IMT (intima-medial thickness) at 150 degrees ,22673,continuous,,UK Biobank Assessment Centre > Physical measures > Carotid ultrasound,,18767,,0.00301893488211435,0.0418883046328232,,,continuous-22673-both_sexes--irnt
Mean L2 in pontine crossing tract on FA skeleton,25249,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0038756207881987,0.0244052144086265,,,continuous-25249-both_sexes--irnt
Salbutamol 100micrograms spacehaler,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1795,279748,0.00394984547877075,0.101171623804038,,,categorical-20003-both_sexes-1140926606-
Portion size,100010,continuous,,Online follow-up > Diet by 24-hour recall > Typical diet yesterday,,43917,,0.00451608593286545,-0.00961522241186409,,,continuous-100010-both_sexes--
Maximum carotid IMT (intima-medial thickness) at 150 degrees ,22675,continuous,,UK Biobank Assessment Centre > Physical measures > Carotid ultrasound,,18767,,0.00483992523471732,0.0395771755299041,,,continuous-22675-both_sexes--irnt
Eye surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2575,278968,0.00484801371067278,0.0653604314623838,,,categorical-20004-both_sexes-1434-
Mean ICVF in corticospinal tract on FA skeleton (left),25351,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.00527018663467638,0.0164190350241315,,,continuous-25351-both_sexes--irnt
Y82.1 Local anaesthetic nerve block,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1387,280199,0.00532389125767541,0.0824909411140403,,,categorical-41210-both_sexes-Y821-
Mental health problems ever diagnosed by a professional,20544,categorical,,Online follow-up > Mental health > Mental distress,,1136,91938,0.00581117688766908,0.0881701517478741,,,categorical-20544-both_sexes-1-
Calcium salts,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1730,279813,0.00588053190433868,0.0671363522507102,,,categorical-20003-both_sexes-1140870788-
Mean L1 in corticospinal tract on FA skeleton (right),25206,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00649244711706798,0.0331909040562472,,,continuous-25206-both_sexes--irnt
Mean L3 in pontine crossing tract on FA skeleton,25297,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00706282348470666,0.0340919321911954,,,continuous-25297-both_sexes--irnt
Mean L3 in inferior cerebellar peduncle on FA skeleton (left),25307,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00760925920501854,-0.0133297601543182,,,continuous-25307-both_sexes--irnt
Ventolin 100micrograms inhaler,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,8046,273497,0.00804847559219313,0.0385343761517763,,,categorical-20003-both_sexes-1140861998-
Mean MD in pontine crossing tract on FA skeleton,25105,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00832481402054064,0.0281935625417392,,,continuous-25105-both_sexes--irnt
C-reactive protein,30710,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,267974,,0.00920711388978324,-0.0117589489906179,,,continuous-30710-both_sexes--irnt
Weighted-mean L2 in tract parahippocampal part of cingulum (right),25603,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.00955942158848055,-0.0184856012093963,,,continuous-25603-both_sexes--irnt
Maximum carotid IMT (intima-medial thickness) at 120 degrees ,22672,continuous,,UK Biobank Assessment Centre > Physical measures > Carotid ultrasound,,18686,,0.00965754711280242,0.0363708515077244,,,continuous-22672-both_sexes--irnt
