Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,Select,,analysis_id
Frequency of inability to cease drinking in last year,20413,continuous,,Online follow-up > Mental health > Alcohol use,,51410,,0.0000210377305671638,0.0427907225752799,,,continuous-20413-both_sexes--
K25 Gastric ulcer,131590,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,5726,275859,0.00120098330047913,0.125031185678663,,,icd_first_occurrence-131590-both_sexes--
X72.4 Delivery of subsequent element of cycle of chemotherapy for neoplasm,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1841,279745,0.00600914209593295,0.177128917094603,,,categorical-41200-both_sexes-X724-
X70.2 Procurement of drugs for chemotherapy for neoplasm for regimens in Band 2,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1827,279759,0.00679776178721547,0.178396412424676,,,categorical-41200-both_sexes-X702-
Mean reticulocyte volume,30260,continuous,,Biological samples > Assay results > Blood assays > Blood count,,268453,,0.00770695159482504,-0.025621294511861,,,continuous-30260-both_sexes--irnt
Leg fat-free mass (right),23113,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276681,,0.00936825327851687,0.0139274115198481,,,continuous-23113-both_sexes--irnt
L72 Follicular cysts of skin and subcutaneous tissue,131794,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,8322,273263,0.00991727833388001,0.0884411538894146,,,icd_first_occurrence-131794-both_sexes--
Leg predicted mass (right),23114,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276681,,0.0109047311069131,0.0136074868801983,,,continuous-23114-both_sexes--irnt
X72.1 Delivery of complex chemotherapy for neoplasm including prolonged infusional treatment at first attendance,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2360,279226,0.0117040187472977,0.156340136337084,,,categorical-41210-both_sexes-X721-
Age started smoking in current smokers,3436,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,,20655,,0.012592602053126,0.0303738867163307,,,continuous-3436-both_sexes--irnt
X72.3 Delivery of simple parenteral chemotherapy for neoplasm at first attendance,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2386,279200,0.0127892686525213,0.155623501332289,,,categorical-41210-both_sexes-X723-
B28.2 Partial excision of breast NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2857,150491,0.0131710866471801,0.159415357139528,,,categorical-41200-both_sexes-B282-
Wisdom teeth surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,11050,270493,0.0132945916334485,0.0763801066242303,,,categorical-20004-both_sexes-1480-
K81 Cholecystitis,131676,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,2896,278689,0.0160220015706675,0.14739454352026,,,icd_first_occurrence-131676-both_sexes--
Whole body fat-free mass,23101,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276694,,0.016552725198563,0.0125719788821136,,,continuous-23101-both_sexes--irnt
M35 Other systemic involvement of connective tissue,131900,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,2688,278897,0.0166915176160821,0.148885025286037,,,icd_first_occurrence-131900-both_sexes--
SHBG,30830,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,243925,,0.0169467060561685,-0.00773626385089291,,,continuous-30830-both_sexes--irnt
Whole body water mass,23102,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276713,,0.0192554312677277,0.012269601320201,,,continuous-23102-both_sexes--irnt
Maxillo-facial surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2021,279522,0.0211059907259097,0.120408224730657,,,categorical-20004-both_sexes-1481-
E53 Deficiency of other b group vitamins,130770,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,1307,280278,0.0216074023720939,0.157488394910705,,,icd_first_occurrence-130770-both_sexes--
Body mass index (BMI),23104,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276710,,0.0221790032181685,0.0148578272440656,,,continuous-23104-both_sexes--irnt
Body mass index (BMI),21001,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,280645,,0.0231015205541557,0.014767398997265,,,continuous-21001-both_sexes--irnt
S06.5 Excision of lesion of skin of head or neck NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,8309,273277,0.0234358444784549,0.106237678782999,,,categorical-41200-both_sexes-S065-
Lumpectomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,9204,144124,0.0235189818165339,0.103920130928583,,,categorical-20004-both_sexes-1369-
M86 Osteomyelitis,131974,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,1231,280354,0.0247683161402846,0.158287883331393,,,icd_first_occurrence-131974-both_sexes--
Basal metabolic rate,23105,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276703,,0.0257587291718793,0.0125694015821036,,,continuous-23105-both_sexes--irnt
J34 Other disorders of nose and nasal sinuses,131472,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,9791,271794,0.026856108694676,0.0512027502295211,,,icd_first_occurrence-131472-both_sexes--
