trait_name,trait_category,Priority,For online
grip,muscle & bone,+,+
gripbw,muscle & bone,+,+
glucose,metabolite,+,+
ck,cytokines,,+
cholesterol,metabolite,,+
triglyceride,metabolite,,+
gtt0,insulin response,+,+
gtt15,insulin response,+,+
gtt60,insulin response,+,+
gtt120,insulin response,+,+
gtt180,insulin response,+,+
gttauc,insulin response,+,+
homab,insulin response,+,+
homair,insulin response,+,+
insulin,insulin response,+,+
bw,body composition,+,+
GM-CSF,cytokines,,+
G-CSF,cytokines,,+
IL-1a,cytokines,,+
IL-2,cytokines,,+
IFNr,cytokines,,+
IL-6,cytokines,,+
IL-1b,cytokines,,+
IL-4,cytokines,,+
IL-10,cytokines,,+
IL-7,cytokines,,+
IL-12 (p40),cytokines,,+
IL-12 (p70),cytokines,,+
IL-13,cytokines,,+
KC,cytokines,,+
IL-15,cytokines,,+
IP-10,cytokines,,+
MCP-1,cytokines,,+
MIP-1a,cytokines,,+
M-CSF,cytokines,,+
MIP-1b,cytokines,,+
MIP-2,cytokines,,+
MIG,cytokines,,+
RANTES,cytokines,,+
TNFa,cytokines,,+
lean mass,body composition,+,+
fat mass,body composition,+,+
adiposity,body composition,+,+
Free_fluid,body composition,,
free fatty acids,metabolite,,+
Heart (g),body composition,,+
Fat_mass,body composition,,+
NMR_total_Mass,body composition,,+
NMR_BF_percentage,body composition,,+
glucose_to_insulin,insulin response,+,+
Lean_mass,body composition,+,+
BMD_total,muscle & bone,,+
BMD_femur,muscle & bone,,+
BMD_C1-C6,muscle & bone,,+
Insulin,insulin response,,+
BW,body composition,+,+
GFP_percent,body composition,,+
MFP_percent,body composition,,+
FFP_percent,body composition,,+
RFP_percent,body composition,,+
Glucose,metabolite,+,+
triglycerides,metabolite,,+
unesterified cholesterol,metabolite,,+
total cholesterol,metabolite,,+
HDL,metabolite,,+
Glucose_LC,metabolite,,+
BF_response_0to2wks,body composition,,+
BF_response_0to4wks,body composition,,+
Complex I activity,metabolite,,+
Citrate synthase activity,metabolite,,+
Complex I activity / Citrate synthase activity,metabolite,,+
BF_response_0to6wks,body composition,,+
BF_response_4to8wks,body composition,,+
FatMass_Response_2to8wks,body composition,,+
FatMass_Response_0to4wks,body composition,,+
BF_Percent_Growth_6to8wks,body composition,,+
Heart/NMR_Mass_8wks,body composition,,+
NMR_TotalMass_6wks,body composition,,+
Mesenteric_Fat/NMR_Mass_8wks,body composition,,+
BF_response_4to6wks,body composition,,+
BF_Percent_Growth_2to8wks,body composition,,+
FatMass_PercentGrowth_6to8wks,body composition,,+
BF_Percent_Growth_0to4wks,body composition,,+
NMR Free Fluid (g) - 2 wks diet,body composition,,+
FatMass_Response_4to6wks,body composition,,+
BF_response_2to4wks,body composition,,+
FatMass_PercentGrowth_0to6wks,body composition,,+
FatMass_PercentGrowth_4to6wks,body composition,,+
Weight-4 wks diet,body composition,,+
Visceral Fat,body composition,,+
NMR_TotalMass_0to2wks,body composition,,+
SAC weight,body composition,,+
FatMass_Response_0to2wks,body composition,,+
FatMass_Response_2to6wks,body composition,,+
BF_Percent_Growth_4to6wks,body composition,,+
Kidney/NMR_Mass_8wks,body composition,,
BF_response_2to6wks,body composition,,+
Retro_Fat/NMR_Mass_8wks,body composition,,+
BF_Percent_Growth_0to2wks,body composition,,+
NMR_TotalMass_0to4wks,body composition,,+
BF_Percent_Growth_2to6wks,body composition,,+
FatMass_PercentGrowth_2to4wks,body composition,,+
NMR_BF%_2wks,body composition,,+
FFA,metabolite,,+
BF_response_0to8wks,body composition,,+
FatMass_PercentGrowth_2to8wks,body composition,,+
FatMass_Response_0to6wks,body composition,,+
NMR Free Fluid (g) - 8 wks diet,body composition,,+
NMR_TotalMass_6to8wks,body composition,,+
FatMass_PercentGrowth_0to4wks,body composition,,+
FatMass_Response_2to4wks,body composition,,+
Food Intake - Day 4,rest,,+
FatMass_PercentGrowth_0to2wks,body composition,,+
